onset	duration	nEvent	EventType	channel
0.5145	0.0145	1	FR	01-02
15.99	0.028	2	FR	01-02
28.4985	0.017	3	FR	01-02
36.002	0.021	4	FR	01-02
39.088	0.0125	5	FR	01-02
73.8685	0.013	6	FR	01-02
84.0665	0.023	7	FR	01-02
89.1085	0.015	8	FR	01-02
109.271	0.0145	9	FR	01-02
123.1015	0.0125	10	FR	01-02
139.0375	0.0255	11	FR	01-02
146.7945	0.0185	12	FR	01-02
166.1025	0.028	13	FR	01-02
224.703	0.015	14	FR	01-02
228.485	0.0115	15	FR	01-02
2.7175	0.016	16	FR	02-03
6.082	0.0285	17	FR	02-03
8.2975	0.013	18	FR	02-03
9.4775	0.0155	19	FR	02-03
12.7675	0.0135	20	FR	02-03
14.8925	0.0265	21	FR	02-03
15.9905	0.0275	22	FR	02-03
20.545	0.0205	23	FR	02-03
24.576	0.01	24	FR	02-03
24.634	0.0115	25	FR	02-03
29.553	0.0225	26	FR	02-03
34.969	0.0105	27	FR	02-03
36.0025	0.023	28	FR	02-03
38.0635	0.0155	29	FR	02-03
42.837	0.027	30	FR	02-03
72.336	0.0165	31	FR	02-03
73.8625	0.013	32	FR	02-03
75.3225	0.039	33	FR	02-03
77.645	0.0375	34	FR	02-03
81.9115	0.036	35	FR	02-03
82.935	0.06	36	FR	02-03
91.076	0.0175	37	FR	02-03
92.855	0.017	38	FR	02-03
93.8925	0.0095	39	FR	02-03
119.305	0.0195	40	FR	02-03
123.0885	0.0225	41	FR	02-03
124.982	0.0275	42	FR	02-03
126.839	0.0165	43	FR	02-03
128.7525	0.0155	44	FR	02-03
129.792	0.017	45	FR	02-03
130.898	0.019	46	FR	02-03
132.7835	0.0125	47	FR	02-03
137.288	0.028	48	FR	02-03
137.4425	0.0115	49	FR	02-03
148.645	0.014	50	FR	02-03
154.4685	0.018	51	FR	02-03
161.6235	0.014	52	FR	02-03
166.095	0.0295	53	FR	02-03
168.5425	0.013	54	FR	02-03
169.535	0.02	55	FR	02-03
176.7175	0.01	56	FR	02-03
181.557	0.023	57	FR	02-03
185.2925	0.0375	58	FR	02-03
189.968	0.038	59	FR	02-03
190.966	0.0485	60	FR	02-03
195.6365	0.0165	61	FR	02-03
218.1305	0.0315	62	FR	02-03
219.3275	0.021	63	FR	02-03
221.4935	0.0135	64	FR	02-03
222.5815	0.0195	65	FR	02-03
223.6525	0.026	66	FR	02-03
224.695	0.022	67	FR	02-03
226.668	0.0145	68	FR	02-03
230.286	0.023	69	FR	02-03
231.363	0.01	70	FR	02-03
1.6555	0.018	71	FR	03-04
2.715	0.027	72	FR	03-04
6.0715	0.032	73	FR	03-04
9.4775	0.0115	74	FR	03-04
12.7665	0.014	75	FR	03-04
14.88	0.036	76	FR	03-04
15.991	0.0135	77	FR	03-04
20.541	0.023	78	FR	03-04
25.4575	0.0205	79	FR	03-04
26.533	0.019	80	FR	03-04
27.474	0.021	81	FR	03-04
31.707	0.0125	82	FR	03-04
33.9865	0.0165	83	FR	03-04
34.964	0.022	84	FR	03-04
36.0065	0.0195	85	FR	03-04
42.835	0.018	86	FR	03-04
70.15	0.028	87	FR	03-04
72.332	0.032	88	FR	03-04
73.8625	0.0135	89	FR	03-04
75.3345	0.0235	90	FR	03-04
76.4895	0.019	91	FR	03-04
77.646	0.02	92	FR	03-04
80.874	0.0125	93	FR	03-04
81.912	0.0305	94	FR	03-04
82.935	0.0445	95	FR	03-04
84.2855	0.0105	96	FR	03-04
90.1305	0.013	97	FR	03-04
91.0765	0.017	98	FR	03-04
102.8805	0.0265	99	FR	03-04
109.246	0.018	100	FR	03-04
111.205	0.019	101	FR	03-04
114.0285	0.018	102	FR	03-04
121.19	0.01	103	FR	03-04
122.102	0.01	104	FR	03-04
123.0905	0.0285	105	FR	03-04
124.9855	0.016	106	FR	03-04
125.967	0.0185	107	FR	03-04
126.839	0.0115	108	FR	03-04
128.7525	0.0115	109	FR	03-04
129.7905	0.019	110	FR	03-04
130.8965	0.0125	111	FR	03-04
134.7435	0.011	112	FR	03-04
141.0855	0.0185	113	FR	03-04
151.812	0.0125	114	FR	03-04
169.535	0.0215	115	FR	03-04
175.324	0.014	116	FR	03-04
181.5575	0.016	117	FR	03-04
183.391	0.012	118	FR	03-04
185.301	0.016	119	FR	03-04
189.975	0.0235	120	FR	03-04
190.9795	0.0155	121	FR	03-04
200.7305	0.026	122	FR	03-04
202.595	0.013	123	FR	03-04
204.642	0.018	124	FR	03-04
208.479	0.016	125	FR	03-04
216.823	0.016	126	FR	03-04
218.14	0.02	127	FR	03-04
219.3075	0.016	128	FR	03-04
220.4595	0.021	129	FR	03-04
221.493	0.0145	130	FR	03-04
222.5815	0.0155	131	FR	03-04
223.6545	0.0365	132	FR	03-04
224.6835	0.0295	133	FR	03-04
226.6485	0.0145	134	FR	03-04
229.401	0.018	135	FR	03-04
230.2855	0.024	136	FR	03-04
1.627	0.0265	137	FR	04-05
25.4385	0.032	138	FR	04-05
27.456	0.0175	139	FR	04-05
34.951	0.0315	140	FR	04-05
39.067	0.04	141	FR	04-05
51.1965	0.022	142	FR	04-05
70.1355	0.0285	143	FR	04-05
72.3275	0.0255	144	FR	04-05
73.8555	0.02	145	FR	04-05
81.9045	0.03	146	FR	04-05
82.936	0.019	147	FR	04-05
88.0005	0.0155	148	FR	04-05
93.7365	0.013	149	FR	04-05
122.0955	0.0145	150	FR	04-05
123.0875	0.012	151	FR	04-05
124.9835	0.021	152	FR	04-05
128.743	0.02	153	FR	04-05
139.014	0.0215	154	FR	04-05
140.115	0.025	155	FR	04-05
141.1055	0.0115	156	FR	04-05
143.9685	0.012	157	FR	04-05
146.77	0.022	158	FR	04-05
147.713	0.0135	159	FR	04-05
166.0735	0.026	160	FR	04-05
176.5315	0.014	161	FR	04-05
186.2275	0.0175	162	FR	04-05
189.972	0.018	163	FR	04-05
190.964	0.022	164	FR	04-05
197.403	0.012	165	FR	04-05
210.4135	0.0195	166	FR	04-05
220.435	0.022	167	FR	04-05
222.577	0.0165	168	FR	04-05
225.6455	0.025	169	FR	04-05
227.5075	0.0225	170	FR	04-05
228.4725	0.01	171	FR	04-05
233.649	0.018	172	FR	04-05
0.4765	0.0205	173	FR	05-06
2.6725	0.0275	174	FR	05-06
3.7885	0.017	175	FR	05-06
4.949	0.0165	176	FR	05-06
8.2685	0.0195	177	FR	05-06
20.524	0.031	178	FR	05-06
21.45	0.015	179	FR	05-06
23.4525	0.0305	180	FR	05-06
24.403	0.015	181	FR	05-06
28.467	0.026	182	FR	05-06
30.878	0.0285	183	FR	05-06
34.9495	0.0225	184	FR	05-06
39.067	0.029	185	FR	05-06
40.587	0.013	186	FR	05-06
51.1725	0.035	187	FR	05-06
53.7785	0.0395	188	FR	05-06
63.1885	0.0245	189	FR	05-06
72.319	0.0235	190	FR	05-06
73.845	0.031	191	FR	05-06
78.6965	0.017	192	FR	05-06
81.8915	0.013	193	FR	05-06
81.9095	0.015	194	FR	05-06
82.9155	0.0195	195	FR	05-06
82.9375	0.025	196	FR	05-06
87.9825	0.0155	197	FR	05-06
93.717	0.0165	198	FR	05-06
103.763	0.014	199	FR	05-06
109.2275	0.0155	200	FR	05-06
128.7305	0.017	201	FR	05-06
139.0025	0.0325	202	FR	05-06
140.128	0.0165	203	FR	05-06
141.1055	0.0125	204	FR	05-06
141.838	0.015	205	FR	05-06
143.941	0.039	206	FR	05-06
148.646	0.012	207	FR	05-06
155.471	0.011	208	FR	05-06
161.6165	0.0145	209	FR	05-06
163.3855	0.0135	210	FR	05-06
166.0725	0.0135	211	FR	05-06
168.544	0.0185	212	FR	05-06
169.538	0.0275	213	FR	05-06
173.5705	0.034	214	FR	05-06
176.5325	0.0205	215	FR	05-06
178.564	0.0165	216	FR	05-06
179.525	0.0195	217	FR	05-06
186.2105	0.0325	218	FR	05-06
190.9655	0.019	219	FR	05-06
200.723	0.014	220	FR	05-06
202.5865	0.0225	221	FR	05-06
208.467	0.015	222	FR	05-06
210.4135	0.0195	223	FR	05-06
215.7035	0.014	224	FR	05-06
218.1225	0.0155	225	FR	05-06
220.4345	0.0175	226	FR	05-06
221.4785	0.028	227	FR	05-06
222.5465	0.018	228	FR	05-06
225.647	0.016	229	FR	05-06
226.651	0.0125	230	FR	05-06
227.501	0.0285	231	FR	05-06
231.3325	0.0305	232	FR	05-06
0.481	0.0255	233	FR	06-07
1.6185	0.0305	234	FR	06-07
2.6975	0.014	235	FR	06-07
3.7895	0.037	236	FR	06-07
4.97	0.0185	237	FR	06-07
6.046	0.0115	238	FR	06-07
6.059	0.0155	239	FR	06-07
7.196	0.0235	240	FR	06-07
8.264	0.026	241	FR	06-07
9.4615	0.0185	242	FR	06-07
11.6925	0.023	243	FR	06-07
12.7485	0.0265	244	FR	06-07
13.802	0.035	245	FR	06-07
14.881	0.017	246	FR	06-07
15.9835	0.0165	247	FR	06-07
20.5385	0.013	248	FR	06-07
21.4525	0.0115	249	FR	06-07
23.457	0.0135	250	FR	06-07
24.408	0.0235	251	FR	06-07
25.427	0.0515	252	FR	06-07
32.8155	0.018	253	FR	06-07
34.949	0.0185	254	FR	06-07
35.99	0.0095	255	FR	06-07
39.0455	0.0165	256	FR	06-07
51.1845	0.0145	257	FR	06-07
53.791	0.0165	258	FR	06-07
63.208	0.017	259	FR	06-07
70.1235	0.0305	260	FR	06-07
72.317	0.0115	261	FR	06-07
73.8385	0.0175	262	FR	06-07
75.292	0.017	263	FR	06-07
75.31	0.0225	264	FR	06-07
77.6245	0.0365	265	FR	06-07
78.7045	0.027	266	FR	06-07
80.87	0.025	267	FR	06-07
81.9045	0.0125	268	FR	06-07
84.047	0.0195	269	FR	06-07
87.9985	0.02	270	FR	06-07
89.067	0.0285	271	FR	06-07
91.0715	0.033	272	FR	06-07
91.879	0.016	273	FR	06-07
93.7275	0.028	274	FR	06-07
95.832	0.028	275	FR	06-07
100.5875	0.023	276	FR	06-07
101.9165	0.029	277	FR	06-07
103.763	0.0215	278	FR	06-07
104.7095	0.02	279	FR	06-07
105.721	0.0355	280	FR	06-07
109.2285	0.0205	281	FR	06-07
112.17	0.0245	282	FR	06-07
122.0785	0.021	283	FR	06-07
123.05	0.025	284	FR	06-07
123.0795	0.0155	285	FR	06-07
123.9385	0.0175	286	FR	06-07
125.9495	0.0285	287	FR	06-07
126.8175	0.016	288	FR	06-07
128.734	0.012	289	FR	06-07
129.7755	0.033	290	FR	06-07
135.552	0.0175	291	FR	06-07
139.003	0.0195	292	FR	06-07
146.755	0.018	293	FR	06-07
146.779	0.015	294	FR	06-07
148.6375	0.0175	295	FR	06-07
149.6515	0.0245	296	FR	06-07
155.461	0.01	297	FR	06-07
156.3685	0.01	298	FR	06-07
161.614	0.016	299	FR	06-07
162.4585	0.04	300	FR	06-07
167.4195	0.0185	301	FR	06-07
168.539	0.018	302	FR	06-07
169.5195	0.015	303	FR	06-07
173.57	0.0255	304	FR	06-07
174.134	0.012	305	FR	06-07
176.5325	0.021	306	FR	06-07
177.4485	0.028	307	FR	06-07
178.567	0.016	308	FR	06-07
179.5085	0.015	309	FR	06-07
180.486	0.016	310	FR	06-07
181.559	0.011	311	FR	06-07
182.467	0.043	312	FR	06-07
183.3515	0.0205	313	FR	06-07
185.282	0.0245	314	FR	06-07
186.2135	0.0135	315	FR	06-07
189.965	0.0225	316	FR	06-07
208.4675	0.0185	317	FR	06-07
209.4395	0.019	318	FR	06-07
210.392	0.0305	319	FR	06-07
212.7535	0.021	320	FR	06-07
215.7025	0.015	321	FR	06-07
219.276	0.01	322	FR	06-07
220.43	0.0195	323	FR	06-07
221.4885	0.0195	324	FR	06-07
222.557	0.014	325	FR	06-07
223.6325	0.01	326	FR	06-07
223.6565	0.0165	327	FR	06-07
224.66	0.011	328	FR	06-07
224.6755	0.012	329	FR	06-07
225.624	0.021	330	FR	06-07
227.503	0.028	331	FR	06-07
229.381	0.026	332	FR	06-07
230.268	0.013	333	FR	06-07
231.326	0.0265	334	FR	06-07
232.2135	0.0265	335	FR	06-07
233.615	0.014	336	FR	06-07
234.851	0.032	337	FR	06-07
0.469	0.049	338	FR	07-08
1.6305	0.027	339	FR	07-08
2.6845	0.0275	340	FR	07-08
3.7875	0.0195	341	FR	07-08
4.9725	0.024	342	FR	07-08
6.053	0.0215	343	FR	07-08
8.2655	0.0135	344	FR	07-08
9.45	0.021	345	FR	07-08
10.551	0.01	346	FR	07-08
11.6805	0.0345	347	FR	07-08
12.7455	0.017	348	FR	07-08
13.8095	0.03	349	FR	07-08
14.8825	0.0185	350	FR	07-08
15.9635	0.0285	351	FR	07-08
20.515	0.0365	352	FR	07-08
21.447	0.02	353	FR	07-08
23.4535	0.02	354	FR	07-08
25.437	0.037	355	FR	07-08
27.447	0.029	356	FR	07-08
28.4655	0.0265	357	FR	07-08
29.5195	0.029	358	FR	07-08
31.667	0.027	359	FR	07-08
32.818	0.0245	360	FR	07-08
34.9465	0.0215	361	FR	07-08
35.9815	0.021	362	FR	07-08
37.1125	0.0285	363	FR	07-08
39.047	0.012	364	FR	07-08
40.5665	0.0275	365	FR	07-08
51.1765	0.0315	366	FR	07-08
63.2105	0.024	367	FR	07-08
66.728	0.0265	368	FR	07-08
69.3075	0.019	369	FR	07-08
70.1325	0.0115	370	FR	07-08
72.2875	0.059	371	FR	07-08
73.841	0.0155	372	FR	07-08
75.3055	0.023	373	FR	07-08
76.466	0.016	374	FR	07-08
77.6335	0.027	375	FR	07-08
78.715	0.02	376	FR	07-08
79.724	0.018	377	FR	07-08
80.8555	0.035	378	FR	07-08
81.887	0.043	379	FR	07-08
82.923	0.0255	380	FR	07-08
84.0305	0.0205	381	FR	07-08
84.0525	0.018	382	FR	07-08
85.028	0.0175	383	FR	07-08
87.9885	0.0345	384	FR	07-08
89.0765	0.0115	385	FR	07-08
90.1075	0.0205	386	FR	07-08
91.0435	0.0555	387	FR	07-08
91.8755	0.016	388	FR	07-08
92.836	0.016	389	FR	07-08
93.726	0.0255	390	FR	07-08
95.805	0.029	391	FR	07-08
97.362	0.014	392	FR	07-08
100.5865	0.0265	393	FR	07-08
101.9115	0.0345	394	FR	07-08
103.7525	0.032	395	FR	07-08
104.7055	0.028	396	FR	07-08
105.71	0.035	397	FR	07-08
108.1835	0.057	398	FR	07-08
109.23	0.03	399	FR	07-08
111.155	0.037	400	FR	07-08
112.16	0.019	401	FR	07-08
114.0125	0.03	402	FR	07-08
114.925	0.0105	403	FR	07-08
119.98	0.019	404	FR	07-08
122.074	0.035	405	FR	07-08
123.0635	0.0275	406	FR	07-08
123.938	0.029	407	FR	07-08
124.959	0.0185	408	FR	07-08
125.9485	0.0295	409	FR	07-08
126.8205	0.0135	410	FR	07-08
128.7155	0.0305	411	FR	07-08
129.7905	0.0205	412	FR	07-08
134.712	0.017	413	FR	07-08
135.5495	0.013	414	FR	07-08
137.262	0.0285	415	FR	07-08
138.9915	0.0325	416	FR	07-08
141.0565	0.0255	417	FR	07-08
146.778	0.011	418	FR	07-08
147.6865	0.023	419	FR	07-08
155.462	0.024	420	FR	07-08
156.366	0.0215	421	FR	07-08
157.7105	0.021	422	FR	07-08
161.5855	0.0155	423	FR	07-08
162.447	0.037	424	FR	07-08
166.0855	0.03	425	FR	07-08
167.405	0.0345	426	FR	07-08
168.5255	0.011	427	FR	07-08
169.508	0.014	428	FR	07-08
175.2815	0.042	429	FR	07-08
176.5075	0.023	430	FR	07-08
177.4635	0.0115	431	FR	07-08
179.4945	0.0245	432	FR	07-08
180.483	0.0135	433	FR	07-08
181.5515	0.0225	434	FR	07-08
185.2695	0.0385	435	FR	07-08
186.192	0.035	436	FR	07-08
187.261	0.013	437	FR	07-08
189.954	0.0185	438	FR	07-08
190.947	0.0235	439	FR	07-08
193.974	0.0185	440	FR	07-08
199.837	0.024	441	FR	07-08
200.7095	0.0435	442	FR	07-08
201.6365	0.0195	443	FR	07-08
202.575	0.0215	444	FR	07-08
206.5895	0.0135	445	FR	07-08
208.454	0.0405	446	FR	07-08
210.392	0.0435	447	FR	07-08
211.681	0.014	448	FR	07-08
212.739	0.0205	449	FR	07-08
220.43	0.0245	450	FR	07-08
221.4795	0.0325	451	FR	07-08
222.5485	0.043	452	FR	07-08
223.6405	0.0385	453	FR	07-08
224.6575	0.0305	454	FR	07-08
225.627	0.026	455	FR	07-08
226.632	0.0485	456	FR	07-08
227.5015	0.0345	457	FR	07-08
228.4415	0.0315	458	FR	07-08
231.3265	0.013	459	FR	07-08
232.213	0.0235	460	FR	07-08
234.8425	0.043	461	FR	07-08
0.515	0.0185	462	FR	09-10
1.6535	0.018	463	FR	09-10
2.7205	0.013	464	FR	09-10
3.825	0.0095	465	FR	09-10
12.764	0.021	466	FR	09-10
13.84	0.017	467	FR	09-10
15.9915	0.0295	468	FR	09-10
19.633	0.023	469	FR	09-10
20.553	0.0145	470	FR	09-10
22.413	0.0185	471	FR	09-10
23.487	0.015	472	FR	09-10
25.4675	0.024	473	FR	09-10
26.543	0.0135	474	FR	09-10
27.464	0.041	475	FR	09-10
30.6055	0.027	476	FR	09-10
31.7015	0.0195	477	FR	09-10
34.98	0.0185	478	FR	09-10
38.068	0.0155	479	FR	09-10
51.2255	0.0145	480	FR	09-10
63.2425	0.0165	481	FR	09-10
66.3495	0.015	482	FR	09-10
72.3355	0.0235	483	FR	09-10
75.3255	0.011	484	FR	09-10
76.4885	0.0325	485	FR	09-10
77.6575	0.021	486	FR	09-10
82.967	0.0145	487	FR	09-10
97.6995	0.0305	488	FR	09-10
98.999	0.016	489	FR	09-10
102.89	0.0205	490	FR	09-10
109.261	0.0195	491	FR	09-10
112.1915	0.015	492	FR	09-10
119.3185	0.0205	493	FR	09-10
121.191	0.011	494	FR	09-10
122.096	0.0325	495	FR	09-10
126.8475	0.0195	496	FR	09-10
128.753	0.014	497	FR	09-10
136.223	0.023	498	FR	09-10
139.0335	0.021	499	FR	09-10
141.1005	0.012	500	FR	09-10
146.8025	0.018	501	FR	09-10
160.8325	0.0275	502	FR	09-10
162.499	0.0175	503	FR	09-10
163.413	0.0095	504	FR	09-10
175.315	0.024	505	FR	09-10
175.346	0.0155	506	FR	09-10
176.7355	0.01	507	FR	09-10
179.5365	0.014	508	FR	09-10
182.787	0.0175	509	FR	09-10
185.318	0.017	510	FR	09-10
186.2415	0.0155	511	FR	09-10
187.278	0.02	512	FR	09-10
190.9675	0.019	513	FR	09-10
195.626	0.0175	514	FR	09-10
201.8125	0.017	515	FR	09-10
209.7065	0.0255	516	FR	09-10
210.422	0.0255	517	FR	09-10
212.7755	0.026	518	FR	09-10
214.6915	0.0175	519	FR	09-10
218.1505	0.0095	520	FR	09-10
219.3085	0.0165	521	FR	09-10
219.3335	0.012	522	FR	09-10
223.663	0.0275	523	FR	09-10
224.6945	0.0145	524	FR	09-10
228.4755	0.018	525	FR	09-10
231.364	0.0175	526	FR	09-10
233.6405	0.01	527	FR	09-10
0.4985	0.0105	528	FR	10-11
1.6385	0.05	529	FR	10-11
3.8045	0.034	530	FR	10-11
6.071	0.021	531	FR	10-11
7.217	0.0185	532	FR	10-11
9.474	0.0225	533	FR	10-11
13.8365	0.021	534	FR	10-11
15.9875	0.0295	535	FR	10-11
17.1305	0.0325	536	FR	10-11
20.5455	0.03	537	FR	10-11
21.475	0.016	538	FR	10-11
23.4865	0.015	539	FR	10-11
26.545	0.026	540	FR	10-11
27.479	0.016	541	FR	10-11
28.487	0.03	542	FR	10-11
30.614	0.019	543	FR	10-11
34.9745	0.019	544	FR	10-11
35.9945	0.0265	545	FR	10-11
39.079	0.026	546	FR	10-11
51.2255	0.0115	547	FR	10-11
63.235	0.0195	548	FR	10-11
70.146	0.0315	549	FR	10-11
72.353	0.015	550	FR	10-11
73.8525	0.0365	551	FR	10-11
76.487	0.021	552	FR	10-11
77.654	0.016	553	FR	10-11
81.916	0.0165	554	FR	10-11
84.0735	0.011	555	FR	10-11
88.011	0.0225	556	FR	10-11
97.7115	0.0185	557	FR	10-11
99.0005	0.015	558	FR	10-11
102.8955	0.0175	559	FR	10-11
103.7815	0.032	560	FR	10-11
104.74	0.014	561	FR	10-11
105.7515	0.017	562	FR	10-11
109.2535	0.0215	563	FR	10-11
112.1915	0.023	564	FR	10-11
122.0975	0.0245	565	FR	10-11
123.0905	0.0145	566	FR	10-11
124.9895	0.0115	567	FR	10-11
125.9885	0.0125	568	FR	10-11
126.839	0.019	569	FR	10-11
128.7455	0.024	570	FR	10-11
136.2215	0.0235	571	FR	10-11
137.2925	0.0255	572	FR	10-11
139.026	0.0275	573	FR	10-11
141.1055	0.0145	574	FR	10-11
146.7965	0.01	575	FR	10-11
148.6615	0.017	576	FR	10-11
157.731	0.0325	577	FR	10-11
161.62	0.0265	578	FR	10-11
162.496	0.023	579	FR	10-11
168.545	0.0255	580	FR	10-11
169.5405	0.0145	581	FR	10-11
183.3905	0.015	582	FR	10-11
185.3035	0.014	583	FR	10-11
189.9825	0.0165	584	FR	10-11
190.973	0.019	585	FR	10-11
195.6215	0.0225	586	FR	10-11
201.812	0.0185	587	FR	10-11
209.7055	0.0255	588	FR	10-11
210.4205	0.015	589	FR	10-11
211.7495	0.0105	590	FR	10-11
212.769	0.019	591	FR	10-11
214.678	0.032	592	FR	10-11
218.1435	0.018	593	FR	10-11
219.3045	0.017	594	FR	10-11
221.51	0.017	595	FR	10-11
222.5875	0.019	596	FR	10-11
223.663	0.0265	597	FR	10-11
224.7025	0.0145	598	FR	10-11
225.656	0.0185	599	FR	10-11
227.526	0.013	600	FR	10-11
228.4775	0.015	601	FR	10-11
230.288	0.021	602	FR	10-11
231.365	0.02	603	FR	10-11
233.64	0.02	604	FR	10-11
234.87	0.029	605	FR	10-11
0.4945	0.0225	606	FR	11-12
1.6425	0.0365	607	FR	11-12
2.7145	0.0295	608	FR	11-12
4.9685	0.0255	609	FR	11-12
7.217	0.014	610	FR	11-12
12.76	0.0255	611	FR	11-12
14.8755	0.014	612	FR	11-12
23.4875	0.0175	613	FR	11-12
25.4625	0.0135	614	FR	11-12
26.5415	0.0175	615	FR	11-12
34.973	0.019	616	FR	11-12
35.9915	0.0335	617	FR	11-12
39.0755	0.03	618	FR	11-12
42.842	0.0175	619	FR	11-12
70.1455	0.0285	620	FR	11-12
72.349	0.027	621	FR	11-12
73.842	0.0425	622	FR	11-12
75.3395	0.0185	623	FR	11-12
76.4805	0.0195	624	FR	11-12
82.9415	0.021	625	FR	11-12
85.069	0.017	626	FR	11-12
88.0155	0.0175	627	FR	11-12
90.118	0.0215	628	FR	11-12
104.74	0.014	629	FR	11-12
105.7455	0.0165	630	FR	11-12
108.2225	0.0195	631	FR	11-12
122.11	0.0195	632	FR	11-12
123.0935	0.0195	633	FR	11-12
125.982	0.015	634	FR	11-12
128.75	0.026	635	FR	11-12
146.7885	0.0185	636	FR	11-12
161.6265	0.025	637	FR	11-12
166.0955	0.012	638	FR	11-12
175.314	0.026	639	FR	11-12
179.5255	0.026	640	FR	11-12
185.3055	0.0125	641	FR	11-12
187.276	0.0235	642	FR	11-12
189.983	0.024	643	FR	11-12
190.962	0.031	644	FR	11-12
195.6255	0.018	645	FR	11-12
200.743	0.0155	646	FR	11-12
208.4825	0.0145	647	FR	11-12
212.7815	0.0225	648	FR	11-12
219.3035	0.0335	649	FR	11-12
224.685	0.025	650	FR	11-12
225.6445	0.026	651	FR	11-12
230.272	0.031	652	FR	11-12
233.637	0.0315	653	FR	11-12
1.6355	0.018	654	FR	12-13
3.811	0.02	655	FR	12-13
14.874	0.017	656	FR	12-13
25.4525	0.026	657	FR	12-13
31.698	0.0205	658	FR	12-13
39.0685	0.022	659	FR	12-13
40.605	0.0165	660	FR	12-13
63.232	0.0195	661	FR	12-13
70.145	0.0195	662	FR	12-13
72.321	0.021	663	FR	12-13
73.8515	0.0175	664	FR	12-13
75.3245	0.0305	665	FR	12-13
76.4895	0.0125	666	FR	12-13
77.648	0.0145	667	FR	12-13
82.9335	0.0185	668	FR	12-13
90.119	0.019	669	FR	12-13
104.723	0.0145	670	FR	12-13
109.2445	0.022	671	FR	12-13
122.091	0.02	672	FR	12-13
143.9615	0.024	673	FR	12-13
179.5245	0.0225	674	FR	12-13
183.3845	0.0145	675	FR	12-13
189.976	0.0175	676	FR	12-13
190.957	0.021	677	FR	12-13
210.4145	0.027	678	FR	12-13
220.439	0.0195	679	FR	12-13
222.5755	0.0145	680	FR	12-13
224.6765	0.016	681	FR	12-13
225.657	0.011	682	FR	12-13
231.3415	0.0205	683	FR	12-13
233.641	0.0135	684	FR	12-13
0.486	0.028	685	FR	13-14
1.6355	0.02	686	FR	13-14
3.7865	0.026	687	FR	13-14
8.2525	0.0335	688	FR	13-14
9.4585	0.0145	689	FR	13-14
10.5475	0.0135	690	FR	13-14
12.7265	0.0425	691	FR	13-14
14.8675	0.0125	692	FR	13-14
20.532	0.0255	693	FR	13-14
21.4515	0.015	694	FR	13-14
22.3965	0.0235	695	FR	13-14
25.4355	0.0285	696	FR	13-14
28.4755	0.0165	697	FR	13-14
31.683	0.025	698	FR	13-14
34.9435	0.0145	699	FR	13-14
35.9825	0.0195	700	FR	13-14
38.049	0.013	701	FR	13-14
39.0635	0.024	702	FR	13-14
46.129	0.013	703	FR	13-14
51.1865	0.029	704	FR	13-14
52.7705	0.0115	705	FR	13-14
53.805	0.019	706	FR	13-14
63.2045	0.0265	707	FR	13-14
75.294	0.046	708	FR	13-14
77.63	0.035	709	FR	13-14
78.7125	0.0325	710	FR	13-14
80.8595	0.0205	711	FR	13-14
81.8955	0.0215	712	FR	13-14
82.938	0.023	713	FR	13-14
88.0055	0.0125	714	FR	13-14
